tweet_author,overall_polarity
Sarah Williams,negative
AACR Foundation,negative
Targeted Oncology,positive
Oncology Nursing News,negative
Philip McCarthy,negative
AACR,positive
Kirk Kirlin,negative
Guillaume P. Andrieu,negative
Kevin Wolcott,negative
Rare Disease Report,positive
"Pharmacyclics, an AbbVie Company",negative
Brian Kenney,positive
FDA Oncology,negative
Kerri Wachter,negative
Cellectar Biosciences,positive
"Mazyar Shadman, MD MPH",positive
Oncology Tube,negative
BD Biosciences,negative
PSU School of Business,positive
"Cowan, Liebowitz",negative
datahack,negative
CURE Magazine,positive
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
CLLSA,negative
CLL Advocates Network,negative
Medivizor,negative
AIM Alerts!,negative
Medivizor,negative
Hematology Advisor,negative
CheckRare,positive
ClinicalTrialsData,negative
Paperbirds_Hematology,negative
Medivizor,negative
OncLive SOSS,negative
Kathleen D. Hoffman,negative
Mayo Clinic Cancer Center,negative
Thomas Lofaro,negative
OncLive SOSS,negative
Paperbirds_Hematology,negative
Lymphoma Papers,negative
Medivizor,negative
Blood Advances,negative
TumorImmunoPapers,negative
SpecialtyPTimes,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
OncLive SOSS,negative
Seema Ali Bhat,negative
Medscape Education,negative
Paradigm Med Comm,negative
Dr L Boominathan PhD,negative
Dr L Boominathan PhD,negative
Dr L Boominathan PhD,negative
Dr L Boominathan PhD,negative
OncLive SOSS,negative
Medivizor,negative
WEGO Health,positive
WEGO Health,negative
UK Chronic Lymphocytic Leukaemia (CLL) Forum,negative
"Hayder Saeed, MD",negative
Anthony Mato,positive
AcademicTransfer,negative
Adam Kittai,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
BSI UK,positive
AIM Alerts!,negative
CLL Ireland,negative
ClinicalTrialsData,negative
Michael Rynne,negative
Lymphoma Papers,negative
Medivizor,negative
OncLive SOSS,negative
"Bruce Levine, Ph.D.",negative
STTR Cancer,negative
Medivizor,negative
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
"Brand Institute, Inc",positive
"Cowan, Liebowitz",negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Pallawi Torka,negative
Medivizor,negative
Lymphoma Papers,negative
Epigenetics Podcast,negative
Interesting Weird Facts,negative
Seema Ali Bhat,negative
Matthew P. Cheng,negative
Blood Journal,negative
APSHO,negative
MD Anderson Leukemia,negative
CLLSA,negative
Coping with Cancer,negative
ClinOwl Haematology,negative
ImmunologyPapers,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Targeted Oncology,negative
Ind J Med Ped Oncology,negative
ClinicalTrialsData,negative
ClinicalTrialsData,negative
Brave Is Now®,negative
CLL Society Inc.,negative
Benlazar S.M Aminé,negative
"Raul Cordoba, MD, PhD",negative
Transcriptomes,negative
Medivizor,negative
Sound Choice,positive
Ex Dividend Date,negative
AIM Alerts!,negative
WEGO Health,negative
"Cowan, Liebowitz",negative
AVM Biotechnology,positive
David Henry,negative
CLL-seq,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Dr.Virendra Singh,negative
ClinOwl Haematology,negative
"Mazyar Shadman, MD MPH",positive
"Andreas-Claudius Hoffmann, M.D.",negative
Michele Nadeem-Baker,negative
Kathleen D. Hoffman,negative
CLL Ireland,positive
Medivizor,negative
𝗡𝗶𝗵𝗮𝗿 𝗗𝗲𝘀𝗮𝗶 𝗠𝗗🩸,negative
Medivizor,negative
Clinical Lab Manager,negative
"Eduardo Anguita, MD, PhD",negative
Medivizor,negative
Paperbirds_Hematology,negative
Pallawi Torka,positive
Cord Blood News,negative
Targeted Oncology,negative
Francis Chartier,negative
Paperbirds_Hematology,negative
Drugs Caps,negative
Drugs Caps,negative
Targeted Oncology,negative
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
CLL Ireland,positive
Drugs Caps,negative
Drugs Caps,negative
Drugs Caps,negative
Patient Power,negative
Patient Power,negative
Medivizor,negative
Toby Eyre,negative
CompBiolPapers,negative
CLL-seq,negative
LiteratureFeed,positive
Lymphoma Papers,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Juan Marquet,negative
"Raul Cordoba, MD, PhD",negative
Richard Rosenquist Brandell,negative
TrialBulletin,negative
Cancer epigenetics papers 📚,negative
Kathleen D. Hoffman,negative
Targeted Oncology,negative
CURE Magazine,negative
Medivizor,negative
bioRxiv,negative
ClinOwl Haematology,negative
LyLe Foreningen,positive
Cancer Papers,negative
CrozrX,negative
ColumbiaCancer,negative
Medivizor,negative
Cancers MDPI,negative
giacomo paoletti,negative
Ravispecialitiespharma_RSP,positive
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
"Andreas-Claudius Hoffmann, M.D.",negative
WhatNext.com,negative
CLL Advocates Network,negative
21,negative
Toby Eyre,positive
"chadi nabhan MD, MBA, FACP",negative
UK Chronic Lymphocytic Leukaemia (CLL) Forum,negative
Mayo Clinic Cancer Center,negative
Young Hematologists,negative
Adam Kittai,positive
Oncology Central,negative
Medivizor,negative
CancerTherapyAdvisor,negative
Guillermo Ruiz-Argüelles,negative
Richard Rosenquist Brandell,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
StressMarq,negative
AnCan,positive
OncLive SOSS,negative
Juan Marquet,negative
ALI ALAHMARI.,negative
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
Patient Power,negative
ILLINOIS Social Work,negative
ASH,negative
Leukaemia Care,negative
Leukaemia Care,positive
NIH Clinical Center,negative
CLLSA,positive
Paperbirds_Hematology,negative
VJHemOnc,negative
Biotech2050,negative
NCI Media Relations,negative
Cancer Papers,negative
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
"Raul Cordoba, MD, PhD",negative
Investor's Champion,positive
AnCan,positive
Ruth Gemmell,negative
"Cowan, Liebowitz",positive
Andrew Scott,negative
Proactive,negative
Crwe World,negative
Odi Bruckman,negative
Lymphoma Papers,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
The Lancet Haematology,negative
Proactive,negative
AIM Alerts!,negative
Medivizor,negative
Michele Nadeem-Baker,positive
CLLSA,positive
Lab Test,negative
"Raul Cordoba, MD, PhD",negative
DRG Epidemiology,negative
VJHemOnc,negative
Medivizor,negative
Onco.com,negative
MD Anderson Cancer Center,negative
"Tom Henry, MBA, RPh, CPh",negative
Meli Rockhold,negative
Medivizor,negative
Streetwise Reports,negative
Life Sciences Report,negative
Oncology,negative
Victoria Gescheidle,negative
Lymphoma Papers,negative
Lymphoma Papers,negative
Medivizor,negative
Medivizor,negative
Targeted Oncology,positive
OncLive SOSS,negative
Benlazar S.M Aminé,negative
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
Medivizor,negative
CellworksLife,negative
Paperbirds_Hematology,negative
Victor Lin,negative
isthisreal,negative
NLO | Cancer,negative
Kathleen D. Hoffman,negative
Shouting at people in my underpants,negative
AnCan,negative
Medivizor,negative
Hematology Advisor,positive
Lymphoma Hub,positive
DRG Epidemiology,negative
Cancer clinical trials,negative
CLLSA,negative
Patient Power,negative
Palmer,negative
40:40 Recruitment,positive
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
CLL Ireland,negative
BSI UK,negative
Nita Sonwane,negative
Lymphoma Papers,negative
EurekaMag,negative
Medivizor,negative
Seema Ali Bhat,negative
Palmer,negative
CLL Ireland,positive
"Raul Cordoba, MD, PhD",negative
Joshua Brody MD,positive
The Curable Recipes,negative
NCI Media Relations,negative
Michael Hallek,negative
Carlos Loinaz,negative
OncLive SOSS,negative
"Amber Koehler, PA-C",negative
CURE Magazine,negative
Dana-Farber,positive
OncLive SOSS,negative
The ASCO Post,negative
The ASCO Post,negative
Adam Kittai,positive
Medivizor,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Toby Eyre,positive
UK Chronic Lymphocytic Leukaemia (CLL) Forum,positive
Krishan Maggon,negative
Anthony Mato,negative
Anthony Mato,negative
Mustaqeem Siddiqui,positive
Laik Manifesto 🌈,negative
secamimom,negative
"Jocelyn Solis-Moreira, MS",negative
Toby Eyre,negative
Cancer Papers,negative
Veterinary Cancer Group,positive
Sarah 🦄👑🖤💎,negative
Benyam Muluneh,positive
Hematopoiesis,negative
"Navneet Majhail, MD, MS",negative
CheckRare,negative
Medivizor,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Brad Hoylman,negative
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
CONQUER the patient voice,negative
Prof John,positive
DRG Epidemiology,negative
CLL Society Inc.,negative
HealthWellOrg,negative
Still Buying Baker Mayfields and Nick Chubbs,negative
Shouting at people in my underpants,positive
Kathleen D. Hoffman,negative
CLLSA,negative
OncLive SOSS,negative
The Lancet Haematology,negative
noel cole,negative
nanopore_papers,negative
Medivizor,negative
Paperbirds_Hematology,negative
National Aspergillosis Centre,negative
AIM Alerts!,negative
Medivizor,negative
Taylor Lab UM,negative
Medivizor,negative
"Mike Thompson, MD, PhD, FASCO",negative
CrozrX,negative
CLLSA,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Michael Rynne,negative
Medivizor,negative
"dtw Research, Inc",positive
Biotech Feed,negative
Medivizor,negative
Journal for ImmunoTherapy of Cancer,negative
UK Chronic Lymphocytic Leukaemia (CLL) Forum,negative
Medivizor,negative
Michael Rynne,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Lymphoma Papers,negative
Medivizor,negative
CrozrX,negative
Eye ❤️ 5sos,negative
Medivizor,negative
Ex Dividend Date,negative
CLL Society Inc.,negative
Shouting at people in my underpants,negative
Lymphoma Papers,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Marisa - Allton Reptiles & More,negative
ASH Clinical News,negative
Patient Power,negative
PatientView,negative
ASH Clinical News,negative
Medscape Education,negative
CLLSA,negative
Wellcome-home,negative
CLL Advocates Network,negative
Stefano Cattaneo DVM,negative
UCL Discovery,negative
Mayflower Primary School,negative
Europe PMC articles,negative
CLL Society Inc.,negative
"CancerNetwork®, Home of the Journal ONCOLOGY®",negative
Beloved Foundation,negative
ANTARES,negative
Adam Kittai,negative
gerry melino,negative
Oncologiavet,negative
CLL Ireland,negative
Derren Brown,positive
Medivizor,negative
医学英単語bot,negative
Agenparl,negative
ASH Clinical News,negative
"Amber Koehler, PA-C",negative
Medivizor,negative
CLL Ireland,negative
Michael Rynne,negative
Winn Schott,negative
Lymphoma Papers,negative
Medivizor,negative
Andrew Schorr,negative
Wag-O-Shag Lodge #280,negative
Danielle M. Brander,positive
Cancer News,negative
ASH Clinical News,negative
Medivizor,negative
OncLive.com,negative
Andrew Schorr,negative
CancerWallonia,negative
noel cole,negative
Medivizor,negative
Lymphoma Hub,negative
Medivizor,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Nikki Greenwood,negative
CLL Society Inc.,negative
Investor News,negative
Investor News,negative
Shillong Herald,negative
Cure Cancer Now,negative
Michael Rynne,negative
SouthernIndiaReporte,negative
shimla-online,negative
Bill Letcher,positive
Leukemia I'm Fine,negative
Sikkim Journal,negative
UK Chronic Lymphocytic Leukaemia (CLL) Forum,positive
ABNewswire,negative
RSSFeedsCloud,negative
PressRelease.cc,negative
Patient Power,negative
the baseballgodx laugh,negative
Adam Kittai,positive
Brave Is Now,negative
Medscape Education,negative
Lymphoma Papers,negative
Lymphoma Papers,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
CLLSA,negative
CLL Advocates Network,negative
COPD News,negative
Saeid Shamsian MD,negative
NIH Clinical Center,positive
Medivizor,negative
Lymphoma Hub,negative
Michele Nadeem-Baker,positive
BSI UK,negative
Michael Rynne,negative
Michael Rynne,negative
CLL Ireland,negative
Mandy Mitchell,positive
noel cole,negative
Thomas C. Keefe,negative
Medivizor,negative
San Francisco Chronicle,negative
Medivizor,negative
CLLSA,negative
Medivizor,negative
OncLive.com,negative
Lymphoma Papers,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Aishling Deegan,positive
Øistein Jansen,positive
COPD News,negative
Seema Ali Bhat,negative
Taylor Lab UM,negative
CLL Ireland,negative
Kathleen D. Hoffman,negative
Andrew Schorr,negative
Patient Power,negative
Danielle M. Brander,positive
"W JR Quan, MD",negative
CURE Magazine,negative
Brave Is Now®,negative
Biotech2050,positive
Medivizor,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,positive
COPD News,negative
Medivizor,negative
OncLive.com,negative
"Mazyar Shadman, MD MPH",negative
OncLive.com,negative
COPD News,negative
The Thinker,negative
ASH Clinical News,negative
T Lee Humphrey,negative
Anthony Mato,positive
UK Chronic Lymphocytic Leukaemia (CLL) Forum,negative
Toby Eyre,negative
Patient Power,negative
NantHealth,negative
DRG Epidemiology,negative
Lymphoma Hub,positive
Adam Kittai,positive
Karla Plevová,positive
Medivizor,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
nanopore_papers,negative
Medivizor,negative
Health Advicer (I Follow Back),negative
Cowford Ball - American Cancer Society,negative
Patient Power,negative
DTHSTR,negative
CLL-seq,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Paperbirds_Hematology,negative
Mazen M,negative
Yungang Xu (徐云刚),negative
Pippa Jones,negative
Medivizor,negative
The ASCO Post,negative
Christopher DeBoever,positive
gerry melino,negative
Taylor Lab UM,positive
EurekaMag,negative
Lymphoma Hub,negative
Andrew Schorr,positive
Michele Nadeem-Baker,negative
Patient Power,negative
NantHealth,negative
Patient Power,negative
PRIME Education,negative
Gianluigi Zangari del Balzo,positive
